Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType,DBH_cm,Group,Carbon,CO2e,PrevCarbon,CarbonGrowthRate
Upper,175,sugar maple,2017,5.0,1.0,5.0,0.0,normal,12.7,hardwood,25.930436145543343,95.16470065414408,25.930436145543343,0.0
Upper,175,sugar maple,2018,5.06,1.0,5.0,0.0119999999999999,normal,12.8524,hardwood,26.651705172208583,97.8117579820055,25.930436145543343,0.0278155377956959
Upper,175,sugar maple,2021,5.0,3.0,5.06,-0.0039525691699604,annualized,12.7,hardwood,25.930436145543343,95.16470065414408,26.651705172208583,-0.009020924077275
Upper,175,sugar maple,2022,4.0,1.0,5.0,-0.2,normal,10.16,hardwood,15.520896100149129,56.961688687547294,25.930436145543343,-0.4014409933935223
Upper,175,sugar maple,2023,4.39,1.0,4.0,0.0974999999999999,normal,11.1506,hardwood,19.22415273125568,70.55264052370835,15.520896100149129,0.2385981200577055
Upper,175,sugar maple,2024,5.0,1.0,4.39,0.1389521640091117,normal,12.7,hardwood,25.930436145543343,95.16470065414408,19.22415273125568,0.3488467610530485
Upper,175,sugar maple,2025,5.02,1.0,5.0,0.0039999999999999,normal,12.7508,hardwood,26.169616662043925,96.0424931497012,25.930436145543343,0.0092239295613116
Upper,178,sugar maple,2015,14.75,,,,initial,37.465,hardwood,312.17668054568935,1145.68841760268,,
Upper,178,sugar maple,2016,14.5625,1.0,14.75,-0.0127118644067796,normal,36.98875,hardwood,303.12480032619135,1112.4680171971222,312.17668054568935,-0.0289960166264667
Upper,178,sugar maple,2017,14.6,1.0,14.5625,0.0025751072961373,normal,37.084,hardwood,304.9231375962875,1119.0679149783753,303.12480032619135,0.005932662943319
Upper,178,sugar maple,2018,15.25,1.0,14.6,0.0445205479452055,normal,38.735,hardwood,337.0539740612074,1236.9880848046312,304.9231375962875,0.1053735597705297
Upper,178,sugar maple,2021,14.9,3.0,15.25,-0.0076502732240437,annualized,37.846,hardwood,319.52675505808435,1172.6631910631695,337.0539740612074,-0.0173337411334405
